bench,time,size,compression_ratio,ns,time_ratio,quality
compression/pack/zip,8.9649 ms,55602,.017,8964900.0000,-.9103510000,1.4466755000
compression/pack/zstd_1,4.8337 ms,502723,.156,4833700.0000,-.9516630000,1.3978315000
compression/pack/zstd_2,5.1776 ms,493719,.153,5177600.0000,-.9482240000,1.3976120000
compression/pack/zstd_4,6.9045 ms,481933,.150,6904500.0000,-.9309550000,1.3904775000
compression/pack/zstd_3,6.9335 ms,483315,.150,6933500.0000,-.9306650000,1.3903325000
compression/pack/zstd_5,11.741 ms,464012,.144,11741000.000,-.8825900000,1.3692950000
compression/pack/zstd_6,13.572 ms,457444,.142,13572000.000,-.8642800000,1.3611400000
compression/pack/lzzzz,3.1065 ms,926487,.288,3106500.0000,-.9689350000,1.3404675000
compression/pack/zstd_7,20.711 ms,419632,.130,20711000.000,-.7928900000,1.3314450000
compression/pack/flate2-1,11.895 ms,705536,.219,11895000.000,-.8810500000,1.3310250000
compression/pack/snap,3.0116 ms,993450,.309,3011600.0000,-.9698840000,1.3304420000
compression/pack/lz4_fear,6.8889 ms,926506,.288,6888900.0000,-.9311110000,1.3215555000
compression/pack/lz4_flex,4.7521 ms,999937,.311,4752100.0000,-.9524790000,1.3207395000
compression/pack/flate2-2,18.268 ms,619885,.193,18268000.000,-.8173200000,1.3121600000
compression/pack/yazi-BestSpeed,17.046 ms,691183,.215,17046000.000,-.8295400000,1.3072700000
compression/pack/zstd_8,26.017 ms,408464,.127,26017000.000,-.7398300000,1.3064150000
compression/pack/lz4,8.1636 ms,1041702,.324,8163600.0000,-.9183640000,1.2971820000
compression/pack/deflate-Fast,19.001 ms,692936,.216,19001000.000,-.8099900000,1.2969950000
compression/pack/zstd_9,32.508 ms,404551,.126,32508000.000,-.6749200000,1.2744600000
compression/pack/flate2-3,28.473 ms,549306,.171,28473000.000,-.7152700000,1.2721350000
compression/pack/flate2-4,30.172 ms,546679,.170,30172000.000,-.6982800000,1.2641400000
compression/pack/flate2-5,39.279 ms,531571,.165,39279000.000,-.6072100000,1.2211050000
compression/pack/lzma,53.495 ms,1131078,.352,53495000.000,-.4650500000,1.0565250000
compression/pack/tar,139.26 us,3209216,1.000,139260.00,-.9986074000,.9993037000
compression/pack/lzma2,154.87 us,3207394,1.000,154870.00,-.9984513000,.9992256500
compression/pack/lzma_xz,162.90 us,3207448,1.000,162900.00,-.9983710000,.9991855000
compression/pack/yazi-Default,87.689 ms,511734,.159,87689000.000,-.1231100000,.9820550000
compression/pack/flate2-6,89.266 ms,511734,.159,89266000.000,-.1073400000,.9741700000
compression/pack/deflate-Default,103.00 ms,510688,.159,103000000.00,.0300000000,.9055000000
compression/pack/flate2-7,137.42 ms,505345,.157,137420000.00,.3742000000,.7344000000
compression/pack/flate2-8,215.38 ms,501494,.156,215380000.00,1.1538000000,.3451000000
compression/pack/yazi-BestSize,281.16 ms,500247,.155,281160000.00,1.8116000000,.0167000000
compression/pack/deflate-Best,596.28 ms,498054,.155,596280000.00,4.9628000000,-1.5589000000
compression/pack/brotli,5.0572 s,301546,.094,5057200000.0000,49.5720000000,-23.8330000000
compression/pack/zopfli,42.483 s,464437,.144,42483000000.000,423.8300000000,-210.9870000000
