bench,pack_time,unpack_time,compression_ratio,total_quality
compression/unpack/zstd_8,38.226 us,36.702 us,0,1.62536
compression/unpack/zstd_6,46.150 us,39.143 us,0,1.57354
compression/unpack/zstd_4,49.311 us,48.401 us,0,1.51144
compression/unpack/zstd_2,51.182 us,49.823 us,0,1.49498
compression/pack/zstd_1,4.8337 ms,5.1776 ms,.156,1.39772
compression/pack/zstd_3,6.9335 ms,6.9045 ms,.150,1.3904
compression/pack/zstd_5,11.741 ms,13.572 ms,.144,1.36522
compression/pack/lzzzz,3.1065 ms,3.0116 ms,.288,1.33545
compression/pack/flate2-1,11.895 ms,18.268 ms,.219,1.32159
compression/pack/zstd_7,20.711 ms,26.017 ms,.130,1.31893
compression/pack/lz4,8.1636 ms,6.8889 ms,.324,1.30937
compression/pack/flate2-3,28.473 ms,30.172 ms,.171,1.26814
compression/pack/lz4_flex,4.7521 ms,53.495 ms,.311,1.18863
compression/pack/yazi-BestSpeed,17.046 ms,87.689 ms,.215,1.14466
compression/pack/deflate-Default,103.00 ms,19.001 ms,.159,1.10125
compression/pack/flate2-5,39.279 ms,89.266 ms,.165,1.09764
compression/pack/lzma2,154.87 us,162.90 us,1.000,0.999206
compression/pack/flate2-7,137.42 ms,215.38 ms,.157,0.53975
compression/pack/tar,139.26 us,281.16 ms,1.000,0.508002
compression/unpack/lzma_xz,434.06 us,5.1072 ns,0,-0.170326
compression/unpack/zip,709.97 us,48.236 us,0,-1.79103
compression/pack/brotli,5.0572 s,596.28 ms,.094,-12.6959
compression/unpack/lz4_fear,3.6166 ms,3.1727 ns,0,-16.083
compression/unpack/snap,1.5378 ms,2.3059 ms,0,-17.2185
compression/pack/zstd_9,32.508 ms,5.2807 ms,.126,-24.7663
compression/unpack/yazi-BestSpeed,3.5880 ms,2.3545 ms,0,-27.7125
compression/unpack/flate2-6,4.1003 ms,4.0079 ms,0,-38.541
compression/unpack/flate2-4,4.5075 ms,4.3011 ms,0,-42.043
compression/unpack/flate2-8,3.9719 ms,5.1129 ms,0,-43.424
compression/unpack/flate2-2,5.2633 ms,4.5476 ms,0,-47.0545
compression/pack/zip,8.9649 ms,42.483 s,.017,-104.77
compression/unpack/deflate-Fast,17.272 ms,5.7891 ms,0,-113.305
compression/unpack/deflate-Best,13.204 ms,13.548 ms,0,-131.76
compression/unpack/lzma,103.29 ms,279.54 us,0,-515.848
