bench,time,size,compression_ratio,ns,time_ratio,quality
compression/unpack/lz4_flex,3.1727 ns,,0,3.1727,-.9999682730,1.9999682730
compression/unpack/lzzzz,5.1072 ns,,0,5.1072,-.9999489280,1.9999489280
compression/unpack/zstd_9,36.702 us,,0,36702.000,-.6329800000,1.6329800000
compression/unpack/zstd_8,38.226 us,,0,38226.000,-.6177400000,1.6177400000
compression/unpack/zstd_7,39.143 us,,0,39143.000,-.6085700000,1.6085700000
compression/unpack/zstd_6,46.150 us,,0,46150.000,-.5385000000,1.5385000000
compression/unpack/zstd_1,48.236 us,,0,48236.000,-.5176400000,1.5176400000
compression/unpack/zstd_5,48.401 us,,0,48401.000,-.5159900000,1.5159900000
compression/unpack/zstd_4,49.311 us,,0,49311.000,-.5068900000,1.5068900000
compression/unpack/zstd_3,49.823 us,,0,49823.000,-.5017700000,1.5017700000
compression/unpack/zstd_2,51.182 us,,0,51182.000,-.4881800000,1.4881800000
compression/unpack/lzma2,279.54 us,,0,279540.00,1.7954000000,-.7954000000
compression/unpack/lzma_xz,434.06 us,,0,434060.00,3.3406000000,-2.3406000000
compression/unpack/zip,709.97 us,,0,709970.00,6.0997000000,-5.0997000000
compression/unpack/snap,1.5378 ms,,0,1537800.0000,14.3780000000,-13.3780000000
compression/unpack/yazi-BestSize,2.3059 ms,,0,2305900.0000,22.0590000000,-21.0590000000
compression/unpack/yazi-Default,2.3545 ms,,0,2354500.0000,22.5450000000,-21.5450000000
compression/unpack/yazi-BestSpeed,3.5880 ms,,0,3588000.0000,34.8800000000,-33.8800000000
compression/unpack/lz4_fear,3.6166 ms,,0,3616600.0000,35.1660000000,-34.1660000000
compression/unpack/flate2-8,3.9719 ms,,0,3971900.0000,38.7190000000,-37.7190000000
compression/unpack/flate2-7,4.0079 ms,,0,4007900.0000,39.0790000000,-38.0790000000
compression/unpack/flate2-6,4.1003 ms,,0,4100300.0000,40.0030000000,-39.0030000000
compression/unpack/flate2-5,4.3011 ms,,0,4301100.0000,42.0110000000,-41.0110000000
compression/unpack/flate2-4,4.5075 ms,,0,4507500.0000,44.0750000000,-43.0750000000
compression/unpack/flate2-3,4.5476 ms,,0,4547600.0000,44.4760000000,-43.4760000000
compression/unpack/lz4,5.1129 ms,,0,5112900.0000,50.1290000000,-49.1290000000
compression/unpack/flate2-2,5.2633 ms,,0,5263300.0000,51.6330000000,-50.6330000000
compression/unpack/brotli,5.2807 ms,,0,5280700.0000,51.8070000000,-50.8070000000
compression/unpack/flate2-1,5.7891 ms,,0,5789100.0000,56.8910000000,-55.8910000000
compression/unpack/deflate-Best,13.204 ms,,0,13204000.000,131.0400000000,-130.0400000000
compression/unpack/deflate-Default,13.548 ms,,0,13548000.000,134.4800000000,-133.4800000000
compression/unpack/deflate-Fast,17.272 ms,,0,17272000.000,171.7200000000,-170.7200000000
compression/unpack/lzma,103.29 ms,,0,103290000.00,1031.9000000000,-1030.9000000000
