bench,time,size,compression_ratio,ns,time_ratio,quality
compression/unpack/lz4_flex,3.1727 ns,,0,3.1727,-.9999682730,1.9999682730
compression/unpack/lzzzz,5.1072 ns,,0,5.1072,-.9999489280,1.9999489280
compression/unpack/zstd_9,36.702 us,,0,36702.000,-.6329800000,1.6329800000
compression/unpack/zstd_8,38.226 us,,0,38226.000,-.6177400000,1.6177400000
compression/unpack/zstd_7,39.143 us,,0,39143.000,-.6085700000,1.6085700000
compression/unpack/zstd_6,46.150 us,,0,46150.000,-.5385000000,1.5385000000
compression/unpack/zstd_1,48.236 us,,0,48236.000,-.5176400000,1.5176400000
compression/unpack/zstd_5,48.401 us,,0,48401.000,-.5159900000,1.5159900000
compression/unpack/zstd_4,49.311 us,,0,49311.000,-.5068900000,1.5068900000
compression/unpack/zstd_3,49.823 us,,0,49823.000,-.5017700000,1.5017700000
compression/unpack/zstd_2,51.182 us,,0,51182.000,-.4881800000,1.4881800000
compression/pack/zip,8.9649 ms,55602,.017,8964900.0000,-.9103510000,1.4466755000
compression/pack/zstd_1,4.8337 ms,502723,.156,4833700.0000,-.9516630000,1.3978315000
compression/pack/zstd_2,5.1776 ms,493719,.153,5177600.0000,-.9482240000,1.3976120000
compression/pack/zstd_4,6.9045 ms,481933,.150,6904500.0000,-.9309550000,1.3904775000
compression/pack/zstd_3,6.9335 ms,483315,.150,6933500.0000,-.9306650000,1.3903325000
compression/pack/zstd_5,11.741 ms,464012,.144,11741000.000,-.8825900000,1.3692950000
compression/pack/zstd_6,13.572 ms,457444,.142,13572000.000,-.8642800000,1.3611400000
compression/pack/lzzzz,3.1065 ms,926487,.288,3106500.0000,-.9689350000,1.3404675000
compression/pack/zstd_7,20.711 ms,419632,.130,20711000.000,-.7928900000,1.3314450000
compression/pack/flate2-1,11.895 ms,705536,.219,11895000.000,-.8810500000,1.3310250000
compression/pack/snap,3.0116 ms,993450,.309,3011600.0000,-.9698840000,1.3304420000
compression/pack/lz4_fear,6.8889 ms,926506,.288,6888900.0000,-.9311110000,1.3215555000
compression/pack/lz4_flex,4.7521 ms,999937,.311,4752100.0000,-.9524790000,1.3207395000
compression/pack/flate2-2,18.268 ms,619885,.193,18268000.000,-.8173200000,1.3121600000
compression/pack/yazi-BestSpeed,17.046 ms,691183,.215,17046000.000,-.8295400000,1.3072700000
compression/pack/zstd_8,26.017 ms,408464,.127,26017000.000,-.7398300000,1.3064150000
compression/pack/lz4,8.1636 ms,1041702,.324,8163600.0000,-.9183640000,1.2971820000
compression/pack/deflate-Fast,19.001 ms,692936,.216,19001000.000,-.8099900000,1.2969950000
compression/pack/zstd_9,32.508 ms,404551,.126,32508000.000,-.6749200000,1.2744600000
compression/pack/flate2-3,28.473 ms,549306,.171,28473000.000,-.7152700000,1.2721350000
compression/pack/flate2-4,30.172 ms,546679,.170,30172000.000,-.6982800000,1.2641400000
