bench,time,size,compression_ratio,ns,time_ratio,quality
compression/unpack/LZ4_flex,3.3326 ns,,0,3.3326,-.9999666740,1.9999666740
compression/unpack/LZZZ_LZ4HC,5.1781 ns,,0,5.1781,-.9999482190,1.9999482190
compression/unpack/LZZZ_LZ4,5.1902 ns,,0,5.1902,-.9999480980,1.9999480980
compression/unpack/LZMA2,140.91 us,,0,140910.00,.4091000000,.5909000000
compression/unpack/LZMA_XZ,336.71 us,,0,336710.00,2.3671000000,-1.3671000000
compression/unpack/LZZZ_LZ4F,778.15 us,,0,778150.00,6.7815000000,-5.7815000000
compression/unpack/YAZI-BestSize,1.1393 ms,,0,1139300.0000,10.3930000000,-9.3930000000
compression/unpack/SNAPPY,1.1748 ms,,0,1174800.0000,10.7480000000,-9.7480000000
compression/unpack/ZSTD-8,1.3266 ms,,0,1326600.0000,12.2660000000,-11.2660000000
compression/unpack/YAZI-Default,1.3298 ms,,0,1329800.0000,12.2980000000,-11.2980000000
compression/unpack/ZSTD-9,1.3382 ms,,0,1338200.0000,12.3820000000,-11.3820000000
compression/unpack/ZSTD-7,1.4501 ms,,0,1450100.0000,13.5010000000,-12.5010000000
compression/unpack/ZSTD-6,1.5585 ms,,0,1558500.0000,14.5850000000,-13.5850000000
compression/unpack/ZSTD-5,1.7797 ms,,0,1779700.0000,16.7970000000,-15.7970000000
compression/unpack/ZSTD-3,2.0253 ms,,0,2025300.0000,19.2530000000,-18.2530000000
compression/unpack/FLATE-8,2.0405 ms,,0,2040500.0000,19.4050000000,-18.4050000000
compression/unpack/ZSTD-4,2.0469 ms,,0,2046900.0000,19.4690000000,-18.4690000000
compression/unpack/ZSTD-1,2.0520 ms,,0,2052000.0000,19.5200000000,-18.5200000000
compression/unpack/FLATE-7,2.1706 ms,,0,2170600.0000,20.7060000000,-19.7060000000
compression/unpack/FLATE-6,2.4199 ms,,0,2419900.0000,23.1990000000,-22.1990000000
compression/unpack/ZIP,2.4480 ms,,0,2448000.0000,23.4800000000,-22.4800000000
compression/unpack/BROTLI,2.4678 ms,,0,2467800.0000,23.6780000000,-22.6780000000
compression/unpack/ZSTD-2,2.4761 ms,,0,2476100.0000,23.7610000000,-22.7610000000
compression/unpack/FLATE-3,2.8447 ms,,0,2844700.0000,27.4470000000,-26.4470000000
compression/unpack/FLATE-5,2.9869 ms,,0,2986900.0000,28.8690000000,-27.8690000000
compression/unpack/YAZI-BestSpeed,3.0566 ms,,0,3056600.0000,29.5660000000,-28.5660000000
compression/unpack/LZ4_compression,3.2053 ms,,0,3205300.0000,31.0530000000,-30.0530000000
compression/unpack/FLATE-4,3.3933 ms,,0,3393300.0000,32.9330000000,-31.9330000000
compression/unpack/LZ4_fear,3.8059 ms,,0,3805900.0000,37.0590000000,-36.0590000000
compression/unpack/DEFLATE-Best,4.2322 ms,,0,4232200.0000,41.3220000000,-40.3220000000
compression/unpack/FLATE-2,4.6826 ms,,0,4682600.0000,45.8260000000,-44.8260000000
compression/unpack/DEFLATE-Default,4.7557 ms,,0,4755700.0000,46.5570000000,-45.5570000000
compression/unpack/FLATE-1,5.0069 ms,,0,5006900.0000,49.0690000000,-48.0690000000
compression/unpack/DEFLATE-Fast,6.0879 ms,,0,6087900.0000,59.8790000000,-58.8790000000
compression/unpack/Q-compression,7.6094 ms,,0,7609400.0000,75.0940000000,-74.0940000000
compression/unpack/LZMA,45.004 ms,,0,45004000.000,449.0400000000,-448.0400000000
