compression/pack/Q-compression,13.807 ms,161372
compression/unpack/Q-compression,7.6094 ms,
compression/pack/LZ4_compression,5.7669 ms,736302
compression/unpack/LZ4_compression,3.2053 ms,
compression/pack/LZ4_flex,2.5611 ms,726605
compression/unpack/LZ4_flex,3.3326 ns,
compression/pack/LZ4_fear,4.1608 ms,561033
compression/unpack/LZ4_fear,3.8059 ms,
compression/pack/LZZZ_LZ4,1.7324 ms,561014
compression/unpack/LZZZ_LZ4,5.1902 ns,
compression/pack/LZZZ_LZ4HC,235.32 ms,293384
compression/unpack/LZZZ_LZ4HC,5.1781 ns,
compression/pack/LZZZ_LZ4F,1.6685 ms,561194
compression/unpack/LZZZ_LZ4F,778.15 us,
compression/pack/ZSTD-1,3.5556 ms,254000
compression/unpack/ZSTD-1,2.0520 ms,
compression/pack/ZSTD-2,3.9322 ms,263787
compression/unpack/ZSTD-2,2.4761 ms,
compression/pack/ZSTD-3,3.5806 ms,252645
compression/unpack/ZSTD-3,2.0253 ms,
compression/pack/ZSTD-4,3.7272 ms,252792
compression/unpack/ZSTD-4,2.0469 ms,
compression/pack/ZSTD-5,12.698 ms,233926
compression/unpack/ZSTD-5,1.7797 ms,
compression/pack/ZSTD-6,20.995 ms,225246
compression/unpack/ZSTD-6,1.5585 ms,
compression/pack/ZSTD-7,29.078 ms,218568
compression/unpack/ZSTD-7,1.4501 ms,
compression/pack/ZSTD-8,40.905 ms,219172
compression/unpack/ZSTD-8,1.3266 ms,
compression/pack/ZSTD-9,40.223 ms,219172
compression/unpack/ZSTD-9,1.3382 ms,
compression/pack/SNAPPY,2.0343 ms,525721
compression/unpack/SNAPPY,1.1748 ms,
compression/pack/DEFLATE-Fast,9.9586 ms,256556
compression/unpack/DEFLATE-Fast,6.0879 ms,
compression/pack/DEFLATE-Default,144.42 ms,210739
compression/unpack/DEFLATE-Default,4.7557 ms,
compression/pack/DEFLATE-Best,890.64 ms,200773
compression/unpack/DEFLATE-Best,4.2322 ms,
compression/pack/FLATE-1,6.7725 ms,388838
compression/unpack/FLATE-1,5.0069 ms,
compression/pack/FLATE-2,10.354 ms,242637
compression/unpack/FLATE-2,4.6826 ms,
compression/pack/FLATE-3,20.140 ms,218411
compression/unpack/FLATE-3,2.8447 ms,
compression/pack/FLATE-4,24.274 ms,233933
compression/unpack/FLATE-4,3.3933 ms,
compression/pack/FLATE-5,33.473 ms,226671
compression/unpack/FLATE-5,2.9869 ms,
compression/pack/FLATE-6,82.467 ms,213366
compression/unpack/FLATE-6,2.4199 ms,
compression/pack/FLATE-7,137.80 ms,208680
compression/unpack/FLATE-7,2.1706 ms,
compression/pack/FLATE-8,235.26 ms,205263
compression/unpack/FLATE-8,2.0405 ms,
compression/pack/YAZI-BestSpeed,8.4835 ms,256136
compression/unpack/YAZI-BestSpeed,3.0566 ms,
compression/pack/YAZI-Default,77.061 ms,213366
compression/unpack/YAZI-Default,1.3298 ms,
compression/pack/YAZI-BestSize,303.77 ms,203582
compression/unpack/YAZI-BestSize,1.1393 ms,
compression/pack/LZMA,23.607 ms,381757
compression/unpack/LZMA,45.004 ms,
compression/pack/LZMA2,77.898 us,1647565
compression/unpack/LZMA2,140.91 us,
compression/pack/LZMA_XZ,84.125 us,1647616
compression/unpack/LZMA_XZ,336.71 us,
compression/pack/BROTLI,3.7088 s,164569
compression/unpack/BROTLI,2.4678 ms,
compression/pack/ZIP,81.790 ms,213472
compression/unpack/ZIP,2.4480 ms,
