bench,time,size,compression_ratio,ns,time_ratio,quality
compression/unpack/LZ4_flex,3.5962 ns,,0,3.5962,-.9999640380,1.9999640380
compression/unpack/LZZZ_LZ4,5.1047 ns,,0,5.1047,-.9999489530,1.9999489530
compression/unpack/LZZZ_LZ4HC,5.1956 ns,,0,5.1956,-.9999480440,1.9999480440
compression/pack/LZZZ_LZ4,636.36 us,6615776,.996,636360.00,-.9936364000,.9988182000
compression/pack/LZMA2,443.14 us,6590248,.999,443140.00,-.9955686000,.9982843000
compression/pack/LZMA_XZ,574.04 us,6590300,.999,574040.00,-.9942596000,.9976298000
compression/pack/LZZZ_LZ4F,1.8502 ms,6590359,.999,1850200.0000,-.9814980000,.9912490000
compression/pack/LZ4_fear,2.5893 ms,6589967,.999,2589300.0000,-.9741070000,.9875535000
compression/pack/ZSTD-1,5.8818 ms,5684130,1.159,5881800.0000,-.9411820000,.8910910000
compression/pack/ZSTD-2,5.8980 ms,5684130,1.159,5898000.0000,-.9410200000,.8910100000
compression/pack/SNAPPY,10.964 ms,5934734,1.110,10964000.000,-.8903600000,.8901800000
compression/pack/LZ4,18.778 ms,5788505,1.138,18778000.000,-.8122200000,.8371100000
compression/pack/ZSTD-3,15.975 ms,5607389,1.175,15975000.000,-.8402500000,.8326250000
compression/pack/ZSTD-4,18.312 ms,5621945,1.172,18312000.000,-.8168800000,.8224400000
compression/pack/LZ4_flex,22.464 ms,5791885,1.137,22464000.000,-.7753600000,.8191800000
compression/pack/FLATE-1,41.056 ms,4816187,1.368,41056000.000,-.5894400000,.6107200000
compression/pack/ZSTD-5,68.672 ms,5483982,1.201,68672000.000,-.3132800000,.5561400000
compression/pack/ZSTD-6,73.266 ms,5484964,1.201,73266000.000,-.2673400000,.5331700000
compression/pack/ZSTD-7,83.473 ms,5492859,1.199,83473000.000,-.1652700000,.4831350000
compression/pack/ZSTD-8,86.014 ms,5452115,1.208,86014000.000,-.1398600000,.4659300000
compression/pack/DEFLATE-Fast,78.759 ms,4415445,1.492,78759000.000,-.2124100000,.3602050000
compression/pack/ZSTD-9,108.18 ms,5453219,1.208,108180000.00,.0818000000,.3551000000
compression/pack/LZZZ_LZ4HC,130.44 ms,5740395,1.147,130440000.00,.3044000000,.2743000000
compression/pack/YAZI-BestSpeed,101.85 ms,4437095,1.485,101850000.00,.0185000000,.2482500000
compression/pack/FLATE-2,110.34 ms,4508461,1.461,110340000.00,.1034000000,.2178000000
compression/pack/LZMA,176.83 ms,4769162,1.381,176830000.00,.7683000000,-.0746500000
