bench,time,size,compression_ratio,ns,time_ratio,quality
compression/pack/LZZZ_LZ4,636.36 us,6615776,.996,636360.00,-.9936364000,.9988182000
compression/pack/LZMA2,443.14 us,6590248,.999,443140.00,-.9955686000,.9982843000
compression/pack/LZMA_XZ,574.04 us,6590300,.999,574040.00,-.9942596000,.9976298000
compression/pack/LZZZ_LZ4F,1.8502 ms,6590359,.999,1850200.0000,-.9814980000,.9912490000
compression/pack/LZ4_fear,2.5893 ms,6589967,.999,2589300.0000,-.9741070000,.9875535000
compression/pack/ZSTD-1,5.8818 ms,5684130,1.159,5881800.0000,-.9411820000,.8910910000
compression/pack/ZSTD-2,5.8980 ms,5684130,1.159,5898000.0000,-.9410200000,.8910100000
compression/pack/SNAPPY,10.964 ms,5934734,1.110,10964000.000,-.8903600000,.8901800000
compression/pack/LZ4,18.778 ms,5788505,1.138,18778000.000,-.8122200000,.8371100000
compression/pack/ZSTD-3,15.975 ms,5607389,1.175,15975000.000,-.8402500000,.8326250000
compression/pack/ZSTD-4,18.312 ms,5621945,1.172,18312000.000,-.8168800000,.8224400000
compression/pack/LZ4_flex,22.464 ms,5791885,1.137,22464000.000,-.7753600000,.8191800000
compression/pack/FLATE-1,41.056 ms,4816187,1.368,41056000.000,-.5894400000,.6107200000
compression/pack/ZSTD-5,68.672 ms,5483982,1.201,68672000.000,-.3132800000,.5561400000
compression/pack/ZSTD-6,73.266 ms,5484964,1.201,73266000.000,-.2673400000,.5331700000
compression/pack/ZSTD-7,83.473 ms,5492859,1.199,83473000.000,-.1652700000,.4831350000
compression/pack/ZSTD-8,86.014 ms,5452115,1.208,86014000.000,-.1398600000,.4659300000
compression/pack/DEFLATE-Fast,78.759 ms,4415445,1.492,78759000.000,-.2124100000,.3602050000
compression/pack/ZSTD-9,108.18 ms,5453219,1.208,108180000.00,.0818000000,.3551000000
compression/pack/LZZZ_LZ4HC,130.44 ms,5740395,1.147,130440000.00,.3044000000,.2743000000
compression/pack/YAZI-BestSpeed,101.85 ms,4437095,1.485,101850000.00,.0185000000,.2482500000
compression/pack/FLATE-2,110.34 ms,4508461,1.461,110340000.00,.1034000000,.2178000000
compression/pack/LZMA,176.83 ms,4769162,1.381,176830000.00,.7683000000,-.0746500000
compression/pack/FLATE-4,181.35 ms,4755314,1.385,181350000.00,.8135000000,-.0992500000
compression/pack/FLATE-3,209.44 ms,4928106,1.337,209440000.00,1.0944000000,-.2157000000
compression/pack/FLATE-5,244.41 ms,4904072,1.343,244410000.00,1.4441000000,-.3935500000
compression/pack/Q,46.476 ms,1544273,4.267,46476000.000,-.5352400000,-.8658800000
compression/pack/YAZI-Default,426.48 ms,4961029,1.328,426480000.00,3.2648000000,-1.2964000000
compression/pack/FLATE-6,440.15 ms,4961029,1.328,440150000.00,3.4015000000,-1.3647500000
compression/pack/ZIP,453.37 ms,4961135,1.328,453370000.00,3.5337000000,-1.4308500000
compression/pack/DEFLATE-Default,560.73 ms,4956328,1.329,560730000.00,4.6073000000,-1.9681500000
compression/pack/FLATE-7,676.35 ms,4961756,1.328,676350000.00,5.7635000000,-2.5457500000
compression/pack/FLATE-8,1.2985 s,4961784,1.328,1298500000.0000,11.9850000000,-5.6565000000
compression/pack/YAZI-BestSize,1.7993 s,4961793,1.328,1799300000.0000,16.9930000000,-8.1605000000
compression/pack/DEFLATE-Best,2.8513 s,4956366,1.329,2851300000.0000,27.5130000000,-13.4210000000
compression/pack/BROTLI,8.5323 s,3878048,1.699,8532300000.0000,84.3230000000,-42.0110000000
