bench,pack_time,unpack_time,compression_ratio,total_quality
compression/unpack/ZSTD-8,5.3993 ms,,compression/unpack/ZSTD-9,0
compression/unpack/ZSTD-6,5.1108 ms,,compression/unpack/ZSTD-7,0
compression/unpack/ZSTD-4,4.0446 ms,,compression/unpack/ZSTD-5,0
compression/unpack/ZSTD-2,3.5951 ms,,compression/unpack/ZSTD-3,0
compression/unpack/ZIP,21.495 ms,,compression/unpack/ZSTD-1,0
compression/unpack/YAZI-BestSpeed,14.932 ms,,compression/unpack/YAZI-Default,0
compression/unpack/SNAPPY,4.4350 ms,,compression/unpack/YAZI-BestSize,0
compression/unpack/LZZZ_LZ4HC,5.1956 ns,,compression/unpack/Q,0
compression/unpack/LZZZ_LZ4,5.1047 ns,,compression/unpack/LZZZ_LZ4F,0
compression/unpack/LZMA2,721.50 us,,compression/unpack/LZMA_XZ,0
compression/unpack/LZ4_flex,3.5962 ns,,compression/unpack/LZMA,0
compression/unpack/LZ4,6.8304 ms,,compression/unpack/LZ4_fear,0
compression/unpack/FLATE-7,19.846 ms,,compression/unpack/FLATE-8,0
compression/unpack/FLATE-5,21.035 ms,,compression/unpack/FLATE-6,0
compression/unpack/FLATE-3,21.136 ms,,compression/unpack/FLATE-4,0
compression/unpack/FLATE-1,18.099 ms,,compression/unpack/FLATE-2,0
compression/unpack/DEFLATE-Default,119.95 ms,,compression/unpack/DEFLATE-Fast,0
compression/unpack/BROTLI,41.641 ms,,compression/unpack/DEFLATE-Best,0
compression/pack/ZSTD-8,86.014 ms,,compression/pack/ZSTD-9,0
compression/pack/ZSTD-6,73.266 ms,,compression/pack/ZSTD-7,0
compression/pack/ZSTD-4,18.312 ms,,compression/pack/ZSTD-5,0
compression/pack/ZSTD-2,5.8980 ms,,compression/pack/ZSTD-3,0
compression/pack/ZIP,453.37 ms,,compression/pack/ZSTD-1,0
compression/pack/YAZI-BestSpeed,101.85 ms,,compression/pack/YAZI-Default,0
compression/pack/SNAPPY,10.964 ms,,compression/pack/YAZI-BestSize,0
compression/pack/LZZZ_LZ4HC,130.44 ms,,compression/pack/Q,0
compression/pack/LZZZ_LZ4,636.36 us,,compression/pack/LZZZ_LZ4F,0
compression/pack/LZMA2,443.14 us,,compression/pack/LZMA_XZ,0
compression/pack/LZ4_flex,22.464 ms,,compression/pack/LZMA,0
compression/pack/LZ4,18.778 ms,,compression/pack/LZ4_fear,0
compression/pack/FLATE-7,676.35 ms,,compression/pack/FLATE-8,0
compression/pack/FLATE-5,244.41 ms,,compression/pack/FLATE-6,0
compression/pack/FLATE-3,209.44 ms,,compression/pack/FLATE-4,0
compression/pack/FLATE-1,41.056 ms,,compression/pack/FLATE-2,0
compression/pack/DEFLATE-Default,560.73 ms,,compression/pack/DEFLATE-Fast,0
compression/pack/BROTLI,8.5323 s,,compression/pack/DEFLATE-Best,0
